"Flock size, perception, aC, cC, sC",10,100,5,5,20
25,0.8931146415638018,0.8003051207973132,0.1237429371049504,0.059597342808778785,0.1642951245033387,0.901489908628333,0.7330717936206239,0.2781496522147017,0.43637573140349956,0.09807941207717083
50,0.8800000000000002,0.8000000000000002,0.12,0.04,0.16,0.8800000000000002,0.7200000000000001,0.24000000000000002,0.39999999999999997,0.08
75,0.8845600000000002,0.8000000000000002,0.12,0.04,0.16,0.8809600000000002,0.7200000000000001,0.24000000000000002,0.39999999999999997,0.08
100,0.8845600000000002,0.8000000000000002,0.12,0.04,0.16,0.8809600000000002,0.7200000000000001,0.24000000000000002,0.40071999999999997,0.08
125,0.8845600000000002,0.8000000000000002,0.12,0.04,0.16,0.8809600000000002,0.7200000000000001,0.24000000000000002,0.40071999999999997,0.08
150,0.8845600000000002,0.8000000000000002,0.12,0.04,0.16,0.8809600000000002,0.7200000000000001,0.24000000000000002,0.40071999999999997,0.08
175,0.8845600000000002,0.8000000000000002,0.12,0.04,0.16,0.8809600000000002,0.7200000000000001,0.24000000000000002,0.40071999999999997,0.08
200,0.8845600000000002,0.8000000000000002,0.12,0.04,0.16,0.8809600000000002,0.7200000000000001,0.24000000000000002,0.40071999999999997,0.08
225,0.8845600000000002,0.8000000000000002,0.12,0.04,0.16,0.8809600000000002,0.7200000000000001,0.24000000000000002,0.40071999999999997,0.08
250,0.8845600000000002,0.8000000000000002,0.12,0.04,0.16,0.8857657600000002,0.72384,0.24000000000000002,0.40071999999999997,0.08
275,0.8845600000000002,0.8000000000000002,0.12,0.04,0.16,0.8905715200000002,0.7276800000000001,0.24000000000000002,0.40071999999999997,0.08
300,0.8845600000000002,0.8000000000000002,0.12,0.04,0.16,0.8905715200000002,0.7200000000000001,0.24000000000000002,0.40071999999999997,0.08
325,0.8845600000000002,0.8000000000000002,0.12,0.04,0.16,0.8800000000000002,0.7200000000000001,0.24000000000000002,0.40071999999999997,0.08
350,0.8845600000000002,0.8000000000000002,0.12,0.04,0.16,0.8857657600000002,0.72384,0.24000000000000002,0.40071999999999997,0.08
375,0.8845600000000002,0.8040800000000001,0.12,0.04,0.16,0.8905715200000002,0.72384,0.24000000000000002,0.40071999999999997,0.08
400,0.8850428800000002,0.8040800000000001,0.12,0.04,0.16,0.8905715200000002,0.7276800000000001,0.24000000000000002,0.40071999999999997,0.08
425,0.8850428800000002,0.8000000000000002,0.12,0.04,0.16,0.8905715200000002,0.7276800000000001,0.24000000000000002,0.40071999999999997,0.08
450,0.8850428800000002,0.8000000000000002,0.12,0.04,0.16,0.8905715200000002,0.7276800000000001,0.24000000000000002,0.40071999999999997,0.08
475,0.8850428800000002,0.8040800000000001,0.12,0.04,0.16,0.8905715200000002,0.7276800000000001,0.24000000000000002,0.40071999999999997,0.08
500,0.8804800000000003,0.8000000000000002,0.12,0.04,0.16,0.8905715200000002,0.7276800000000001,0.24000000000000002,0.40071999999999997,0.08
525,0.8845600000000002,0.8040800000000001,0.12,0.04,0.16,0.8905715200000002,0.7276800000000001,0.24000000000000002,0.40071999999999997,0.08
550,0.8850428800000002,0.8040800000000001,0.12,0.04,0.16,0.8934919091200002,0.7296230400000001,0.24192,0.40456864,0.08
575,0.8850428800000002,0.8040800000000001,0.12,0.04,0.16,0.8905715200000002,0.7276800000000001,0.24000000000000002,0.40071999999999997,0.08
600,0.8850428800000002,0.8040800000000001,0.12,0.04,0.16,0.8905715200000002,0.7276800000000001,0.24000000000000002,0.40071999999999997,0.08
625,0.8850428800000002,0.8040800000000001,0.12,0.04,0.16,0.8905715200000002,0.7276800000000001,0.24000000000000002,0.40071999999999997,0.08
650,0.8850428800000002,0.8040800000000001,0.12,0.04,0.16,0.8905715200000002,0.7276800000000001,0.24000000000000002,0.40071999999999997,0.08
675,0.8850428800000002,0.8040800000000001,0.12,0.04,0.16,0.8905715200000002,0.7276800000000001,0.24000000000000002,0.40071999999999997,0.08
700,0.8850428800000002,0.8040800000000001,0.12,0.04,0.16,0.8905715200000002,0.7276800000000001,0.24000000000000002,0.40071999999999997,0.08
725,0.8850428800000002,0.8000000000000002,0.12,0.04,0.16,0.8857657600000002,0.72384,0.24000000000000002,0.40071999999999997,0.08
750,0.8850428800000002,0.8040800000000001,0.12,0.04,0.16,0.8848000000000001,0.72384,0.24000000000000002,0.40071999999999997,0.08
775,0.8903589145600002,0.8084244800000001,0.12024000000000001,0.04,0.16,0.8850414400000002,0.72384,0.24000000000000002,0.40071999999999997,0.08
800,0.8850428800000002,0.8040800000000001,0.12,0.04,0.16,0.8848000000000001,0.72384,0.24000000000000002,0.40071999999999997,0.08
